shots,initialization,architecture,base_trained_task_count,task,seed_count,loss_mean,loss_sample_sd,token_accuracy_mean,token_accuracy_sample_sd,sequence_accuracy_mean,sequence_accuracy_sample_sd
20,pretrained,mlp,4,to_reduced_word,3,5.105565487458958,1.2784710868884412,0.38942911451476442,0.037054261993274329,0,0
20,pretrained,mlp,4,compose,3,9.3619814039776177,0.58335767040244935,0.11212628172653621,0.0098734407928494361,0,0
20,pretrained,mlp,4,parity,3,1.4984272447347642,0.47224462899280562,0.68756666666666666,0.028706329151135513,0.37513333333333332,0.057412658302271061
20,pretrained,mlp,4,to_lehmer,3,2.3826891351492447,0.32583361946191958,0.54920840680921967,0.01317843972974782,0,0
20,pretrained,mlp,8,to_reduced_word,3,4.7313297290850587,0.3728344890473313,0.37391412119855477,0.019397275889093124,0,0
20,pretrained,mlp,8,compose,3,12.894752124412797,1.0737240154559817,0.11688403492029831,0.014913149040028786,0,0
20,pretrained,mlp,8,parity,3,1.7666871362686158,0.043029073045407387,0.60150000000000003,0.028478061731796261,0.20299999999999999,0.056956123463592578
20,pretrained,mlp,8,to_lehmer,3,2.4960654166953109,0.12102993417040973,0.55121512571675479,0.01178382950247351,0,0
20,pretrained,mlp,16,to_reduced_word,3,3.0572908665981284,0.36468423915734494,0.42669646233364822,0.01792782134750005,0,0
20,pretrained,mlp,16,compose,3,7.5184232305007503,2.9130895746924801,0.19507966242140773,0.067555403117648488,0,0
20,pretrained,mlp,16,parity,3,1.6614723779201508,0.70520813784073733,0.61006666666666665,0.081698980001792765,0.22013333333333332,0.1633979600035855
20,pretrained,mlp,16,to_lehmer,3,1.9123501389199093,0.084203651806019561,0.54761237431244092,0.0016069105885838549,0,0
20,pretrained,transformer,1,to_reduced_word,3,8.3065527501751628,0.82750903039676571,0.028060958865707458,0.0028338391737280457,0,0
20,pretrained,transformer,1,compose,3,8.231709994726792,0.86562773584594477,0.025430318453327678,0.0055297408219648,0,0
20,pretrained,transformer,1,parity,3,3.0068145521163938,0.78679564146464764,0.56743333333333335,0.024965242504997476,0.13486666666666666,0.049930485009994974
20,pretrained,transformer,1,to_lehmer,3,8.9848915653130543,1.2863807423100484,0.02593942083484178,0.0086871388497381779,0,0
20,pretrained,transformer,2,to_reduced_word,3,6.5347213252809375,0.43606267017630762,0.031708693817483417,0.00034847234598170428,0,0
20,pretrained,transformer,2,compose,3,6.7959218104962211,0.31663602902543531,0.03331016309491551,0.013320179622118632,0,0
20,pretrained,transformer,2,parity,3,1.9584251204967498,0.28910052157969296,0.6375333333333334,0.0077358472925293164,0.28140000000000004,0.021015232570685466
20,pretrained,transformer,2,to_lehmer,3,7.6455247614829718,0.57284554740625326,0.059572886132813259,0.013784875940963151,0,0
20,pretrained,transformer,4,to_reduced_word,3,2.2982748741965695,0.10026445166417451,0.51186241045596903,0.0048244475523699336,0,0
20,pretrained,transformer,4,compose,3,3.1259423243197859,0.032517024511744423,0.44958116848690488,0.0071498425472931873,0,0
20,pretrained,transformer,4,parity,3,1.0531112821817399,0.28004281264340475,0.72026666666666672,0.0051081634011974682,0.44053333333333339,0.010216326802394959
20,pretrained,transformer,4,to_lehmer,3,2.1421593930167604,0.05714395669605641,0.56681926294440743,0.0016083881038176954,0,0
20,pretrained,transformer,8,to_reduced_word,3,2.1868781951971465,0.066888929746208581,0.50930988125996723,0.012336267181298681,0,0
20,pretrained,transformer,8,compose,3,1.7531533942959676,0.023484153645289711,0.52700510923392907,0.0029884648277243532,0.0033999999999999998,0.0039949968710876358
20,pretrained,transformer,8,parity,3,0.64159596103827166,0.14521266339224806,0.75193333333333323,0.0068602721034470354,0.50386666666666668,0.013720544206894008
20,pretrained,transformer,8,to_lehmer,3,1.5877281223445869,0.012522956356496672,0.57908730297757371,0.0091402277901583093,0,0
