logical_run_id,canonical_run_id,kind,split_id,role,related_pair_count,seed,tasks,reused,global_step,seen_task_token_accuracy_macro,seen_task_sequence_accuracy_macro,checkpoint_sha256
geometry-bundle-s2-r1-transformer-seed42,geometry-bundle-s2-r1-transformer-seed42,bundle,s2,r1,1,42,"fixed_points,deficiencies,left_to_right_maxima,global_descents",False,20000,0.99140625,0.9828125,ee0f22dd56a5bab244e3777cffa72360624ad6138c04efbb9785844459117995
geometry-bundle-s2-r1-transformer-seed101,geometry-bundle-s2-r1-transformer-seed101,bundle,s2,r1,1,101,"fixed_points,deficiencies,left_to_right_maxima,global_descents",False,20000,0.98203125,0.9640625,8999f0f3c9750eb3edcfbc165bbd0aeb8424341864a19f42400638a7b664913d
geometry-bundle-s2-r2-transformer-seed17,geometry-bundle-s2-r2-transformer-seed17,bundle,s2,r2,2,17,"recoils,valleys,fixed_points,longest_increasing_run",False,20000,0.828125,0.65625,6a02197d375ce3d8b8fe82ab1f2bdea2a4eb89ba0e5737600f341726d29cf460
geometry-bundle-s2-r2-transformer-seed42,geometry-bundle-s2-r2-transformer-seed42,bundle,s2,r2,2,42,"recoils,valleys,fixed_points,longest_increasing_run",False,20000,0.83984375,0.6796875,7f4a31df2a1a78232869e5d57f2f167ea8dfd5405781ebad72693ade12360ac5
geometry-bundle-s2-r2-transformer-seed101,geometry-bundle-s2-r2-transformer-seed101,bundle,s2,r2,2,101,"recoils,valleys,fixed_points,longest_increasing_run",False,20000,0.82890625,0.6578125,02e6ce70d96a9a5e7411bca33075482339ad58b963e06e0d6415d23eff4bc0fd
geometry-bundle-s2-r4-transformer-seed17,geometry-bundle-s2-r4-transformer-seed17,bundle,s2,r4,4,17,"valleys,lds_length,longest_increasing_run,left_to_right_maxima",False,20000,0.9281250000000001,0.85625,1361610953a7531954ff9cd6abeb3b10f4b74531ec03860cf6cf37c27b3933f9
geometry-bundle-s2-r4-transformer-seed42,geometry-bundle-s2-r4-transformer-seed42,bundle,s2,r4,4,42,"valleys,lds_length,longest_increasing_run,left_to_right_maxima",False,20000,0.93671875,0.8734375,3ff450d9d242c685e0411b5f6a5887370eaa50eebf3ee021afbccac64c8b23fd
geometry-bundle-s2-r4-transformer-seed101,geometry-bundle-s2-r4-transformer-seed101,bundle,s2,r4,4,101,"valleys,lds_length,longest_increasing_run,left_to_right_maxima",False,20000,0.90703125,0.8140625,6019daeb835bed7c20f9c3ef0d82016462ad5fef11a88a2a740bf88dbb4f16d3
geometry-bundle-s3-anchor-transformer-seed17,geometry-bundle-s3-anchor-transformer-seed17,bundle,s3,anchor,,17,"valleys,deficiencies,lds_length,longest_increasing_run",False,20000,0.865625,0.73125,150feac029972ed2e40c2f1188695c2fb43b736dbf431a1442339093e9f03198
geometry-bundle-s3-anchor-transformer-seed42,geometry-bundle-s3-anchor-transformer-seed42,bundle,s3,anchor,,42,"valleys,deficiencies,lds_length,longest_increasing_run",False,20000,0.86875,0.7375,6506a21b400e570fe0496ec28adcd15aeff2558f5c4a470e2e7d6a83a8f10395
