split_id,model_seed,related_pair_count,layer,linear_cka,anchor_run_id,other_run_id
s2,42,0,block_03,0.5680093646354227,geometry-bundle-s2-anchor-transformer-seed42,geometry-bundle-s2-r0-transformer-seed42
s2,42,0,block_04,0.17423228230869148,geometry-bundle-s2-anchor-transformer-seed42,geometry-bundle-s2-r0-transformer-seed42
s2,42,0,final_norm,0.173733333988794,geometry-bundle-s2-anchor-transformer-seed42,geometry-bundle-s2-r0-transformer-seed42
s2,42,1,embedding,0.8581933762334105,geometry-bundle-s2-anchor-transformer-seed42,geometry-bundle-s2-r1-transformer-seed42
s2,42,1,block_01,0.5820391973991997,geometry-bundle-s2-anchor-transformer-seed42,geometry-bundle-s2-r1-transformer-seed42
s2,42,1,block_02,0.681547493713483,geometry-bundle-s2-anchor-transformer-seed42,geometry-bundle-s2-r1-transformer-seed42
s2,42,1,block_03,0.4714522559587403,geometry-bundle-s2-anchor-transformer-seed42,geometry-bundle-s2-r1-transformer-seed42
s2,42,1,block_04,0.16960638757181073,geometry-bundle-s2-anchor-transformer-seed42,geometry-bundle-s2-r1-transformer-seed42
s2,42,1,final_norm,0.16799295429626226,geometry-bundle-s2-anchor-transformer-seed42,geometry-bundle-s2-r1-transformer-seed42
s2,42,2,embedding,0.8753132154593433,geometry-bundle-s2-anchor-transformer-seed42,geometry-bundle-s2-r2-transformer-seed42
s2,42,2,block_01,0.14637609177411706,geometry-bundle-s2-anchor-transformer-seed42,geometry-bundle-s2-r2-transformer-seed42
s2,42,2,block_02,0.2537023741918552,geometry-bundle-s2-anchor-transformer-seed42,geometry-bundle-s2-r2-transformer-seed42
s2,42,2,block_03,0.22567254812077311,geometry-bundle-s2-anchor-transformer-seed42,geometry-bundle-s2-r2-transformer-seed42
s2,42,2,block_04,0.15031947263856563,geometry-bundle-s2-anchor-transformer-seed42,geometry-bundle-s2-r2-transformer-seed42
s2,42,2,final_norm,0.19206834735889722,geometry-bundle-s2-anchor-transformer-seed42,geometry-bundle-s2-r2-transformer-seed42
s2,42,4,embedding,0.7990505565522602,geometry-bundle-s2-anchor-transformer-seed42,geometry-bundle-s2-r4-transformer-seed42
s2,42,4,block_01,0.4115289264594778,geometry-bundle-s2-anchor-transformer-seed42,geometry-bundle-s2-r4-transformer-seed42
s2,42,4,block_02,0.605774630322389,geometry-bundle-s2-anchor-transformer-seed42,geometry-bundle-s2-r4-transformer-seed42
s2,42,4,block_03,0.5709519335471711,geometry-bundle-s2-anchor-transformer-seed42,geometry-bundle-s2-r4-transformer-seed42
s2,42,4,block_04,0.4153885167910412,geometry-bundle-s2-anchor-transformer-seed42,geometry-bundle-s2-r4-transformer-seed42
s2,42,4,final_norm,0.4815210679950184,geometry-bundle-s2-anchor-transformer-seed42,geometry-bundle-s2-r4-transformer-seed42
s2,101,0,embedding,0.8947890393005247,geometry-bundle-s2-anchor-transformer-seed101,geometry-bundle-s2-r0-transformer-seed101
s2,101,0,block_01,0.41367554949851226,geometry-bundle-s2-anchor-transformer-seed101,geometry-bundle-s2-r0-transformer-seed101
s2,101,0,block_02,0.5227858538907459,geometry-bundle-s2-anchor-transformer-seed101,geometry-bundle-s2-r0-transformer-seed101
s2,101,0,block_03,0.38045125574161703,geometry-bundle-s2-anchor-transformer-seed101,geometry-bundle-s2-r0-transformer-seed101
s2,101,0,block_04,0.20385578675977883,geometry-bundle-s2-anchor-transformer-seed101,geometry-bundle-s2-r0-transformer-seed101
