pair_id,task_left,task_right,model_seed,condition,applied_transform,layer,linear_cka
subsequence_complement,lis_length,lds_length,42,correct,complement,embedding,0.9311218580020563
subsequence_complement,lis_length,lds_length,42,correct,complement,block_01,0.40595348338944354
subsequence_complement,lis_length,lds_length,42,correct,complement,block_02,0.359464265706481
subsequence_complement,lis_length,lds_length,42,correct,complement,block_03,0.6908142067909481
subsequence_complement,lis_length,lds_length,42,correct,complement,block_04,0.48825218627733713
subsequence_complement,lis_length,lds_length,42,correct,complement,final_norm,0.480856654121377
subsequence_complement,lis_length,lds_length,42,wrong,inverse,embedding,0.9311218580020563
subsequence_complement,lis_length,lds_length,42,wrong,inverse,block_01,0.4081382291391611
subsequence_complement,lis_length,lds_length,42,wrong,inverse,block_02,0.33597096446297764
subsequence_complement,lis_length,lds_length,42,wrong,inverse,block_03,0.46475383503345
subsequence_complement,lis_length,lds_length,42,wrong,inverse,block_04,0.13389074002871892
subsequence_complement,lis_length,lds_length,42,wrong,inverse,final_norm,0.12327719968011071
subsequence_complement,lis_length,lds_length,101,identity,identity,embedding,0.9269867954003309
subsequence_complement,lis_length,lds_length,101,identity,identity,block_01,0.6128528422624746
subsequence_complement,lis_length,lds_length,101,identity,identity,block_02,0.3664350374910634
subsequence_complement,lis_length,lds_length,101,identity,identity,block_03,0.4779768133220181
subsequence_complement,lis_length,lds_length,101,identity,identity,block_04,0.12011766811828951
subsequence_complement,lis_length,lds_length,101,identity,identity,final_norm,0.11274205197140273
subsequence_complement,lis_length,lds_length,101,correct,complement,embedding,0.9269867954003309
subsequence_complement,lis_length,lds_length,101,correct,complement,block_01,0.6092429369170913
subsequence_complement,lis_length,lds_length,101,correct,complement,block_02,0.4249853280788557
subsequence_complement,lis_length,lds_length,101,correct,complement,block_03,0.6735706513992946
subsequence_complement,lis_length,lds_length,101,correct,complement,block_04,0.5421503966574426
subsequence_complement,lis_length,lds_length,101,correct,complement,final_norm,0.6179115035188455
subsequence_complement,lis_length,lds_length,101,wrong,inverse,embedding,0.9269867954003309
subsequence_complement,lis_length,lds_length,101,wrong,inverse,block_01,0.6119129261336368
subsequence_complement,lis_length,lds_length,101,wrong,inverse,block_02,0.35349079463898136
subsequence_complement,lis_length,lds_length,101,wrong,inverse,block_03,0.4665033788644022
subsequence_complement,lis_length,lds_length,101,wrong,inverse,block_04,0.11982871231952481
subsequence_complement,lis_length,lds_length,101,wrong,inverse,final_norm,0.11241788874560375
run_complement,longest_increasing_run,longest_decreasing_run,17,identity,identity,embedding,0.8225214208794188
run_complement,longest_increasing_run,longest_decreasing_run,17,identity,identity,block_01,0.4211394211825777
run_complement,longest_increasing_run,longest_decreasing_run,17,identity,identity,block_02,0.5176451434273334
run_complement,longest_increasing_run,longest_decreasing_run,17,identity,identity,block_03,0.24032725535266924
run_complement,longest_increasing_run,longest_decreasing_run,17,identity,identity,block_04,0.028249860103968166
run_complement,longest_increasing_run,longest_decreasing_run,17,identity,identity,final_norm,0.040543581973586026
run_complement,longest_increasing_run,longest_decreasing_run,17,correct,complement,embedding,0.8225214208794188
run_complement,longest_increasing_run,longest_decreasing_run,17,correct,complement,block_01,0.40524058010895236
run_complement,longest_increasing_run,longest_decreasing_run,17,correct,complement,block_02,0.5681931985779993
run_complement,longest_increasing_run,longest_decreasing_run,17,correct,complement,block_03,0.6936916899395954
run_complement,longest_increasing_run,longest_decreasing_run,17,correct,complement,block_04,0.9328610353311144
run_complement,longest_increasing_run,longest_decreasing_run,17,correct,complement,final_norm,0.9459788949704765
run_complement,longest_increasing_run,longest_decreasing_run,17,wrong,inverse,embedding,0.8225214208794188
run_complement,longest_increasing_run,longest_decreasing_run,17,wrong,inverse,block_01,0.40819064240309433
run_complement,longest_increasing_run,longest_decreasing_run,17,wrong,inverse,block_02,0.5160862925578874
run_complement,longest_increasing_run,longest_decreasing_run,17,wrong,inverse,block_03,0.26111047790592784
run_complement,longest_increasing_run,longest_decreasing_run,17,wrong,inverse,block_04,0.02999969948882668
run_complement,longest_increasing_run,longest_decreasing_run,17,wrong,inverse,final_norm,0.04382997497395442
run_complement,longest_increasing_run,longest_decreasing_run,42,identity,identity,embedding,0.738493051282222
run_complement,longest_increasing_run,longest_decreasing_run,42,identity,identity,block_01,0.7120565172905132
run_complement,longest_increasing_run,longest_decreasing_run,42,identity,identity,block_02,0.7543476152642896
run_complement,longest_increasing_run,longest_decreasing_run,42,identity,identity,block_03,0.3081795241158818
run_complement,longest_increasing_run,longest_decreasing_run,42,identity,identity,block_04,0.06663844664383523
